,股票代码,网址,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
254,?300463,http://topic.eastmoney.com/wksw/,0.3221,0.3685,5.33,error,99732,12.362,7.959,2.082,0.49,1060.17,5.96,0.33,6.01
255,?300462,http://topic.eastmoney.com/hmzn2014/,error,error,4.82,error,22303.64,3.9967,2.4895,1.8154,0.52,6108.41,1.18,1,21.95
256,?002759,http://topic.eastmoney.com/gdtjdqipo/,error,error,3.78,error,25700,4.401,2.8838,1.0031,0.16,4111.11,1.55,0.22,5.77
257,?002758,http://topic.eastmoney.com/zjhtyy/,error,error,6.65,error,25659.08,7.5699,2.7917,11.4389,0.46,8613.28,1.37,1.09,17.7
258,?002757,http://topic.eastmoney.com/nxjj/,error,error,4.23,error,46193.65,6.2773,3.4723,5.4311,0.63,5665.38,1.88,0.77,error
259,?300461,http://topic.eastmoney.com/tzjj/,error,error,3.9,error,18729.91,2.3633,1.9989,0.2397,0.05,7241.78,0.66,error,2.5
260,?603989,http://topic.eastmoney.com/ahjt2012/,error,error,5.43,error,98719,11.6728,8.141,11.7382,1.83,8874.04,4.78,1.2,26
261,?603968,http://topic.eastmoney.com/ntcshg/,0.5811,0.1006,6.81,0.05,53721,13.0415,5.586,3.2732,0.36,6508.56,3.75,error,error
262,?603566,http://topic.eastmoney.com/plk2012/,0.506,0.0942,5.7,0.1,57117,8.3772,6.8359,4.7569,1.4,5309.44,4.54,1.17,20.83
263,?603311,http://topic.eastmoney.com/jhhj/,0.2996,0.0873,1.83,0.06,32300,5.6957,2.8801,4.12,0.51,error,1.29,0.32,18.92
264,?002753,http://topic.eastmoney.com/ydhg/,0.4134,0.0992,6.91,0.06,53938.99,8.1941,5.1104,8.4836,0.6,12340.26,2.8,error,12.42
265,?603718,http://topic.eastmoney.com/hlswjs/,0.3078,0.1253,2.61,0.05,41857,6.5448,5.585,2.8527,1,13499.96,1.63,error,19.96
266,?603227,http://topic.eastmoney.com/XFKJ/,0.2977,error,3.31,error,70104.14,17.2986,10.5248,9.0932,1.3,36901.23,1.53,error,10.39
267,?603022,http://topic.eastmoney.com/xtlbz/,error,error,error,error,error,3.651,2.272,4.2145,0.5179,0.2122,1.3601,0.863,25.72
268,?300458,http://topic.eastmoney.com/ZHQZKJIPO/,error,error,error,error,42944.37,11.5102,9.7285,16.501,4.19,1476.89,7.78,3.49,52.15
269,?300456,http://topic.eastmoney.com/wnkjgf/,error,error,error,error,41850.69,3.1791,2.1909,1.6716,0.55,1648.58,1.35,0.88,0
270,?300455,http://topic.eastmoney.com/kthwjs/,error,error,error,error,error,4.721,2.938,2.2763,0.5495,0.5085,1.2248,0.52,20.56
271,?300453,http://topic.eastmoney.com/sxylkj/,0.4127,0.1015,4.21,error,30042.9,3.8137,2.5027,3.222,0.5,3194.01,1.41,error,21.37
272,?300450,http://topic.eastmoney.com/WXXDIPO/,0.4745,0.1049,5.63,error,36716.83,8.8004,2.9195,0.8538,0.25,11087.63,1.15,0.48,8.26
273,?002755,http://topic.eastmoney.com/dfxxsh/,0.3160119,0.1134,4.39,error,18277,5.8266,3.3361,4.7087,0.38,214.84,2.27,error,11.77
274,?603599,http://topic.eastmoney.com/gxnh/,0.3158,0.1128,9.85,error,70071.47,21.6279,13.9019,12.143,1.53,37998.07,7.66,1.08,12.01
275,?603355,http://topic.eastmoney.com/lkdq/,0.3951,0.0972,4.19,0.06,79050.81,29.9573,15.0938,42.3077,3.44,8497.22,8.68,0.96,25.72
276,?300460,http://topic.eastmoney.com/gdhljtkj/,0.3389,0.0871,2.88,error,29661.26,6.6205,3.7183,0.9579,0.09,5227.81,1.74,error,2.44
277,?300459,http://topic.eastmoney.com/jkgyhw/,0.3281,0.1089,5.18,error,26358,6.5754,4.1195,4.769,0.36,17225.45,1.45,error,9.19
278,?300457,http://topic.eastmoney.com/yhkj/,error,error,4.32,error,20425.6,5.3328,2.5273,2.2501,0.51,4253.39,1.36,error,22.21
279,?300452,http://topic.eastmoney.com/shyyfl/,error,error,5.09,error,15795.5,2.6639,1.772,2.3939,0.35,2221.69,1.06,error,21.56
280,?300451,http://topic.eastmoney.com/cyrjgf/,error,error,6.75,error,20611.95,4.71,3.4702,0.6938,0.02,5741.44,2.13,error,0.64
281,?300414,http://topic.eastmoney.com/ZGFL2014/,0.2996,0.0917,5.03,0.04,27928.58,4.6769,3.1781,4.5653,0.98,3665.06,1.94,1.54,35.89
282,?002756,http://topic.eastmoney.com/yxbx2012/,0.4784,0.1048,11.36,error,139800,20.1503,17.0351,40.1882,2.64,3820.44,13.18,1.76,16.73
283,?300442,http://topic.eastmoney.com/pls/,0.6197,0.1323,6.24,0.08,42121.84,7.4375,4.6764,4.2249,0.59,12460.07,2.53,0.79,13.57
284,?300438,http://topic.eastmoney.com/phny/,0.4541,0.1016,7.35,0.05,38908,8.0808,4.6461,7.0054,0.6,16497.44,2.2,0.96,13.91
285,?300434,http://topic.eastmoney.com/jsdfxcl/,0.4359,0.1263,4.34,0.08,15954.58,2.8726,2.2159,1.7283,0.32,1096.57,1.43,0.63,15.49
286,?300404,http://topic.eastmoney.com/bjyy/,0.3004,0.0764,4.37,0.09,19450.05,2.936,2.055,1.3641,0.3516,0.5348,0.9412,0.7,18.71
287,?002751,http://topic.eastmoney.com/yszs/,0.3387,0.1428,4.73,0.18,27604.78,6.1609,2.4902,4.3421,0.35,2537.18,1.48,0.67,14.89
288,?603315,http://topic.eastmoney.com/lnfazg/,0.4717,0.1967,4.58,0.12,26046.56,9.677,3.472,4.0307,0.5311,1.7338,0.8567,0.71,16.06
289,?603021,http://topic.eastmoney.com/hpbl/,0.4677,0.2062,6.11,0.17,46315.13,15.2013,5.4597,7.0514,0.63,4447.4,3.39,0.73,12.38
290,?600959,http://topic.eastmoney.com/jsgdyxxx/,1.239,0.1341,3.63,0.04,470600,150.3056,93.2332,44.0225,8.49,483191.01,10.08,0.33,9.31
291,?300448,http://topic.eastmoney.com/hyafkj/,0.4626,0.1312,4.05,0.04,28407.5,3.7332,2.4309,3.8627,0.57,2599.35,1.39,0.95,26.22
292,?300446,http://topic.eastmoney.com/bdlkxcl/,0.4573,0.1673,5.29,0.05,11153.01,3.2856,2.4323,2.1054,0.77,55.49,1.74,error,36.32
293,?300444,http://topic.eastmoney.com/sjdzipo/,0.7695,0.9123,3.83,0.07,48462.39,7.039,3.9595,5.4492,0.74,4606.13,2.19,0.72,20.21
294,?300441,http://topic.eastmoney.com/bsnyzb/,0.6846,0.2465,4.07,0.05,23496.3,4.8325,2.5818,2.4696,0.4,1168.56,1.64,error,17.09
295,?300440,http://topic.eastmoney.com/CDYDKJIPO/,0.6057,0.2006,6.24,0.07,56452,7.831,5.2453,3.631,1.09,12219.16,2.82,error,22.47
296,?300437,http://topic.eastmoney.com/qsykj/,0.4973,0.1237,4.13,0.06,17500,3.0665,2.3468,4.2455,0.37,2912.74,1.33,error,error
297,?603883,http://topic.eastmoney.com/lbxdyf/,0.5435,0.1475,4.84,error,105578.87,25.2968,10.8564,39.4288,2.38,14208.41,5.96,error,22.91
298,?603818,http://topic.eastmoney.com/qmjj/,0.5748,0.241,3.48,0.08,50779.96,9.6091,6.3118,10.9376,1,12363.06,2.98,0.55,16.95
299,?603808,http://topic.eastmoney.com/SZGLSFSIPO/,0.804,0.2449,5.19,0.14,72819.66,8.0024,6.2289,5.375,1.03,21971.65,2.43,0.86,16.17
300,?603789,http://topic.eastmoney.com/xgnj/,0.6635,0.2646,3.55,error,49789,8.3236,5.3236,5.7631,1.26,12712.53,2.02,0.84,23.87
301,?603703,http://topic.eastmoney.com/ZJSYKJIPO/,0.4511,0.2381,3.93,error,30550,5.9401,2.7063,3.9768,0.55,2027.03,1.65,0.8,22.62
302,?603567,http://topic.eastmoney.com/hljzbdyy/,0.8283,0.1897,6.04,error,error,36.0408,21.7261,15.9291,4.64,28692.81,13.89,1.33,24.01
303,?603318,http://topic.eastmoney.com/psrq/,0.3188,0.1697,3.18,error,error,6.5706,2.871,3.6245,0.36,2967.1,1.49,0.4,13.26
304,?603025,http://topic.eastmoney.com/dhkjgf/,0.6184,0.1984,2.29,0.13,51825.9,10.1102,9.2384,6.6352,2.18,181.16,4.18,0.55,26.44
305,?300447,http://topic.eastmoney.com/njqxcskj/,0.4324,0.1419,4.53,0.09,21025.71,3.3423,2.7546,2.0518,0.49,972.92,1.84,0.81,error
306,?300445,http://topic.eastmoney.com/KSTYBKJIPO/,0.5179,0.1809,5.72,error,19538.97,2.4587,1.7493,1.4088,0.35,3.41,1.27,1.14,21.77
307,?300443,http://topic.eastmoney.com/lwjlfd/,0.5403,0.4868,9.35,0.09,33399,6.2246,4.2083,4.5483,0.91,10982.97,2.39,2.03,24.39
308,?300439,http://topic.eastmoney.com/NBMKSWIPO/,0.5961,0.1444,4.87,0.06,83600,6.2125,4.1513,5.9785,1.37,2.35,2.95,error,38.79
309,?300436,http://topic.eastmoney.com/gstyy/,0.3036,0.296,2.8,0.07,25883.3,2.2411,1.5687,2.5447,0.84,42.8,0.8,1.5,59.07
310,?300424,http://topic.eastmoney.com/hxhkkj/,0.4303,0.1398,3.85,error,33523.1,8.5426,4.5006,5.0911,0.81,37.18,3.19,error,19.39
311,?002752,http://topic.eastmoney.com/sxjt2012/,0.5264,0.1808,2.66,0.13,52510.47,23.4133,9.7236,18.7047,1.1,2898.47,5.44,0.31,12.29
312,?300449,http://topic.eastmoney.com/hbgk/,0.1956,0.1064,6.04,0.1,27677.11,6.8715,3.2029,5.6289,0.57,6808.03,1.86,1.07,19.43
313,?300435,http://topic.eastmoney.com/ztsl2014/,0.1775,0.0737,4.48,0.1,26020,6.9633,2.9758,4.3277,0.8,4180.53,1.74,1.34,30.03
314,?603338,http://topic.eastmoney.com/dljx/,0.3603,0.1256,7.47,0.13,44001.99,3.956,2.784,3.4123,0.836,0.6274,1.4707,1.71,35.17
315,?603869,http://topic.eastmoney.com/bbwly/,0.5262,0.1935,2.65,0.06,27550,6.6405,4.5681,2.4394,0.43,11345.8,1.62,0.26,9.62
316,?603199,http://topic.eastmoney.com/jhslyfz2014/,0.7221,0.2412,6.27,0.06,30516.6,9.2853,5.2056,3.169,0.53,5607.06,3.4,error,10.58
317,?603158,http://topic.eastmoney.com/ltqc/,0.9024,0.3624,4.33,0.12,33746.2,5.8123,3.569,5.5244,0.92,2768.77,2.2,1.12,29.26
318,?603030,http://topic.eastmoney.com/qzjzzs/,0.8299,0.3316,3.52,0.08,53800.04,16.4001,4.2358,18.118,0.77,2756.16,2.52,error,19.62
319,?603020,http://topic.eastmoney.com/apxl/,1.1603,0.2646,7.07,0.06,75740,10.7807,8.6099,12.6898,1.28,25364.86,4.45,error,15.52
320,?603012,http://topic.eastmoney.com/shcljtipo/,1.2202,0.5182,4.78,0.12,100725,20.3513,11.9887,9.8165,1.34,24981.07,5.99,0.54,11.32
321,?300431,http://topic.eastmoney.com/bjbfkjipo/,0.3432,0.0907,3.19,0.03,60150,4.5333,2.8916,3.8621,0.42,4643.98,1.39,error,15.78
322,?300429,http://topic.eastmoney.com/qldzxcl/,0.7446,0.2702,4.1,0.05,27393,3.6937,2.6294,2.7593,0.68,4399.47,1.47,error,error
323,?002750,http://topic.eastmoney.com/KMLJYYIPO/,0.6441,0.4252,5.31,0.11,34500,4.2025,2.6526,1.2992,0.43,442.03,1.82,0.87,15.5
324,?002749,http://topic.eastmoney.com/SCGGNHIPO/,0.6873,2.1212,6.88,0.15,35535,4.9556,4.1293,5.8351,1.24,71.56,3.26,2.06,34.38
325,?002747,http://topic.eastmoney.com/asdzdh/,0.3913,0.1208,2.99,0.09,18106.18,4.1986,2.7013,3.6668,0.24,2966.46,1.37,0.28,9.65
326,?603729,http://topic.eastmoney.com/LYGG2011/,0.538,0.2348,10.44,0.07,43332.95,7.2398,5.222,8.65,0.55,7256.25,3.72,1.12,11.37
327,?603519,http://topic.eastmoney.com/jslbsy/,0.5735,0.4386,6.16,0.1,22165.01,5.8014,3.6954,5.6262,0.43,5993.38,2.29,error,12.35
328,?603268,http://topic.eastmoney.com/gdsftcipo/,0.5891,0.5208,4.39,0.14,23668,3.7767,2.8953,3.0694,0.49,4769.55,1.6,error,18.09
329,?601689,http://topic.eastmoney.com/nbtpjt/,1.1352,0.4833,2.84,0.09,139253,25.3698,15.0027,27.3686,4,19201.08,6.48,0.77,26.32
330,?600958,http://topic.eastmoney.com/dfzq/,1.6235,0.5941,4.29,0.02,978747.4,1075.3012,186.255,54.996,23.59,379610.7,43.83,error,13.81
331,?300432,http://topic.eastmoney.com/fljx2014/,0.5704,0.2976,4.43,0.07,37698,7.6939,4.0051,6.9957,1.37,1550.84,2.57,error,41.08
332,?300430,http://topic.eastmoney.com/bjcytipo/,0.5315,0.273,6.83,0.06,24653.2,7.2889,3.1162,3.1949,0.52,8570.64,1.63,1.14,18.24
333,?300428,http://topic.eastmoney.com/stxxjs/,0.6603,0.3359,4.88,0.1,30691.73,4.9464,2.959,6.9597,0.58,4517.48,1.64,error,21.98
334,?300374,http://topic.eastmoney.com/htcxsm/,0.6674,0.5519,5.45,0.12,27387.88,8.0967,4.0804,2.054,0.13,10800.13,2.08,0.18,3.47
335,?002748,http://topic.eastmoney.com/slsy2012/,0.6055,0.5952,5.82,0.18,48827.6,8.7064,5.2338,10.4789,0.82,7836.73,3.1,0.91,15.79
336,?300433,http://topic.eastmoney.com/lskj/,0.6557,0.1949,12.23,0.08,362179.55,182.3843,74.1817,144.9701,11.76,1852.26,62.06,1.94,17.27
337,?603997,http://topic.eastmoney.com/jfqclbj2014/,0.4551,0.0979,2.03,0.07,69655,10.6677,7.826,10.2112,2.02,error,error,error,error
338,?603969,http://topic.eastmoney.com/tjyl/,1.1068,0.3178,5.09,0.08,64774.2,14.0254,7.7021,16.2665,1.19,28626.23,3.07,0.8,16.96
339,?603828,http://topic.eastmoney.com/kldzs/,0.9564,0.2676,4.9,0.1,51084.9,18.9693,4.7556,18.443,0.92,7620.56,2.82,error,21.44
340,?603015,http://topic.eastmoney.com/hxkj/,0.7136,0.2601,3.5,error,53732.66,7.2023,5.3766,4.5705,0.94,18532.57,1.93,0.63,17.91
341,?603939,http://topic.eastmoney.com/yfdyf/,0.9233,0.2541,4.92,0.11,81588.21,12.5095,5.9576,22.3023,1.42,19773.6,2.56,error,26.22
342,?603898,http://topic.eastmoney.com/hlkcyjj/,0.9067,0.2106,4.47,0.08,42970,5.6649,3.8188,9.0108,1.43,2003.67,2.54,error,43.25
343,?603618,http://topic.eastmoney.com/hzdl/,1.1181,0.5674,5.45,0.15,57358,26.4553,8.7193,26.6807,1.26,33617.58,3.14,error,14.91
344,?603309,http://topic.eastmoney.com/wlyl/,0.6096,0.1858,4.93,error,37884.76,5.258,3.7018,4.9641,0.68,8562.59,1.92,0.9,20.2
345,?603222,http://topic.eastmoney.com/jmzy/,0.5392,0.2849,3.56,0.12,37764,6.3004,4.4161,4.8831,0.58,14800.86,1.56,error,12.33
346,?603118,http://topic.eastmoney.com/gjdzipo/,0.9299,0.2793,5.97,0.08,84624.2,35.7174,13.4333,38.7883,1.61,58637.54,4.96,0.72,12.78
347,?601198,http://topic.eastmoney.com/dxzq/,1.4416,0.2196,3.71,0.03,447377,426.0715,74.3531,25.9777,10.41,132475,24.97,0.52,15.43
348,?300427,http://topic.eastmoney.com/XMHXDLSBIPO/,0.9551,0.3206,4.85,0.07,18687.53,4.2405,3.2231,2.676,0.56,3492.51,1.97,0.85,18.82
349,?300426,http://topic.eastmoney.com/ZJTDYSIPO/,0.5147,0.2206,5.77,0.05,80925.81,9.1081,3.4728,4.0779,0.86,3115.46,2.34,error,28.27
350,?300423,http://topic.eastmoney.com/lytzndq/,0.9039,0.3523,3.26,0.07,19023,4.7438,2.1484,3.0405,0.43,1049.18,1.25,error,22.14
351,?300422,http://topic.eastmoney.com/gxbskhbkj/,0.579,0.165,4.4,0.06,31799.58,5.9567,2.0447,2.8031,0.31,2984.09,1.15,error,16.35
352,?300421,http://topic.eastmoney.com/jslxtygq/,0.889,0.4274,3.67,0.06,30015.35,6.4363,3.2168,4.7099,0.54,12098.81,0.96,error,15.54
353,?300420,http://topic.eastmoney.com/wykj/,0.6833,0.3401,4,0.12,28120.22,3.2937,2.506,1.8986,0.31,8683.61,0.92,error,13.2
354,?300394,http://topic.eastmoney.com/tfgtx/,0.6138,0.6397,5.51,0.07,28557,3.4511,3.2553,2.0064,0.89,6265.01,1.8,error,31.08
355,?002745,http://topic.eastmoney.com/MLSGFIPO/,1.1371,0.2361,3.42,0.15,95239.76,51.9218,14.9777,40.0167,4.39,error,error,error,error
356,?002743,http://topic.eastmoney.com/fhgg101031/,0.7721,0.4297,error,error,error,30.4584,5.4581,18.3481,0.41,error,error,error,error
357,?002742,http://topic.eastmoney.com/sstzjc/,1.05,0.6824,8.99,0.18,43912.9,14.5234,6.8815,12.7081,1.01,error,error,error,error
358,?300425,http://topic.eastmoney.com/hndmkj/,0.3782,0.1556,7.2,0.16,24420.8,6.1246,4.1699,2.3513,0.54,error,error,error,error
359,?002746,http://topic.eastmoney.com/xtgf2012/,0.39,0.1701,6.72,0.14,30500,14.9832,8.0274,17.3469,0.44,25085.52,4.02,0.37,5.68
360,?002741,http://topic.eastmoney.com/ghkjgf/,0.4,0.1938,4.08,0.18,32800,6.9972,3.6698,7.7358,0.68,2695.13,2.29,0.75,19.82
361,?603799,http://topic.eastmoney.com/zjhygyipo/,0.53,0.13,4.82,0.07,184085,81.4688,24.1431,32.7219,1.15,error,error,error,error
362,?603698,http://topic.eastmoney.com/htczhx/,0.61,0.17,3.27,0.08,102307.13,21.08,9.282,10.4445,2.2834,1.5832,3.8393,0.69,27.31
363,?603899,http://topic.eastmoney.com/cgwj/,7.89,0.23,2.93,error,148141.01,16.262,12.1298,23.4493,2.66,5448.78,6.4,0.68,26.43
364,?603686,http://topic.eastmoney.com/lmhw/,0.52,0.24,4.14,error,46808.27,10.6739,4.5619,9.1507,1.03,220,3.16,error,error
365,?603600,http://topic.eastmoney.com/yyjj/,0.45,0.34,3.31,0.18,22392,4.7108,2.4849,6.7929,0.44,401.85,1.64,0.58,18.14
366,?603558,http://topic.eastmoney.com/jsjtipo/,0.68,0.47,5.44,error,34550,7.6446,3.5068,4.7246,0.64,error,error,error,error
367,?300419,http://topic.eastmoney.com/hfcy2012/,0.56,0.28,error,0.15,26684.77,2.9849,2.2329,1.9892,0.35,777.24,1.76,1.15,16.9
368,?300416,http://topic.eastmoney.com/sssy/,0.45,0.21,4.8,0.08,20956,3.9184,2.5909,1.7144,0.22,7573.43,1.17,0.45,9.02
369,?603678,http://topic.eastmoney.com/hjdz/,0.63,0.25,4.49,error,38189,9.5294,5.9284,6.7545,1.04,267.89,4.35,error,19.04
370,?603611,http://topic.eastmoney.com/nljx2014/,0.75,0.31,7.34,error,32469,9.4902,4.6394,9.1412,0.62,error,error,error,error
371,?603601,http://topic.eastmoney.com/zskj/,0.44,0.22,3.55,0.13,17710.09,2.5069,1.9212,1.6041,0.32,4795.84,0.85,error,17.73
372,?601069,http://topic.eastmoney.com/xbhjgf/,0.76,0.23,2.32,0.1,140021.03,23.0067,11.6017,6.2761,0.48,error,error,error,error
373,?300417,http://topic.eastmoney.com/nhyq/,0.71,0.26,5.62,0.09,14951.54,2.0418,1.7786,0.9895,0.19,2842.15,1.09,error,error
374,?300415,http://topic.eastmoney.com/yzmjmjx/,1.08,0.43,3.96,0.07,36060,12.4968,3.6872,8.6701,0.51,1761.46,2.11,0.57,15.41
375,?300364,http://topic.eastmoney.com/zwzxszcb/,0.53,0.18,2.93,0.09,20088.3,3.7539,2.6615,1.6696,0.1,error,error,error,error
376,?002740,http://topic.eastmoney.com/aedzb/,0.94,1,6.53,0.21,35999.62,8.7199,5.1123,6.6754,0.62,error,error,error,error
377,?002739,http://topic.eastmoney.com/wdyxipo/,0.86,0.15,5.23,0.08,200000,42.8807,28.7827,38.9728,6.77,error,error,error,error
378,?002734,http://topic.eastmoney.com/lmhg2011/,0.71,0.4,6.5,error,27029.55,9.2076,4.9575,5.6857,0.37,error,error,error,error
379,?300418,http://topic.eastmoney.com/klwwkj/,0.77,0.21,4.74,0.1,134849,15.0753,9.6412,14.422,2.52,16337.67,5.2,error,25.74
380,?300413,http://topic.eastmoney.com/KLGWIPO/,0.79,0.17,2.68,0.14,147055.76,13.2449,9.1821,20.3476,1.1,17799.05,3.69,error,12.62
381,?603788,http://topic.eastmoney.com/gfqc/,0.31,0.32,2.78,0.3,30904,4.9632,3.0698,4.2564,0.65,2401.57,1.62,0.63,error
